year,author,title,link,shl_has_link
1980,"Hadjimichael, Michael Theodoros",Expectations and exchange rate dynamics under managed floating: An asset market approach.,http://etheses.lse.ac.uk/1982/,TRUE
1980,"Jakob, Roberto","A descriptive study of the relationships between work related self-esteem, job involvement and job satisfaction in four occupational groups.",http://etheses.lse.ac.uk/1993/,TRUE
1980,"Lodhi, Maleeha","Bhutto, the Pakistan Peoples Party and political development in Pakistan: 1967-1977.",http://etheses.lse.ac.uk/3809/,TRUE
1980,"Lyall, Andrew Bremner",The social origins of property and contract: a study of East Africa before 1918.,http://etheses.lse.ac.uk/814/,TRUE
1980,"Peri, Yoram",Some aspects of the relationship between the military and polity in Israel 1947 - 1977.,http://etheses.lse.ac.uk/14/,TRUE
1980,"Silverstone, Roger",The television message as social object: a comparative study of the structure and content of television programmes in Britain.,http://etheses.lse.ac.uk/139/,TRUE
1980,"Wright, Stephen John",The foreign policy of Kenya I963-I978.,http://etheses.lse.ac.uk/4013/,TRUE
1980,"Young, T.",The eugenics movement and the eugenic idea in Britain 1900-1914: a historical study.,http://etheses.lse.ac.uk/61/,TRUE
1981,"Al-Umran, Hala Ahmed",The experimental use of television in a developing country: widening social recruitment into the nursing profession in Bahrain.,http://etheses.lse.ac.uk/3911/,TRUE
1981,"Bird, John Clement",Control of enemy alien civilians in Great Britain 1914-1918.,http://etheses.lse.ac.uk/1983/,TRUE
1981,"Emmanuel, Dimitris","The growth of speculative building in Greece: modes of housing production and socioeconomic change, 1950-1974.",http://etheses.lse.ac.uk/3312/,TRUE
1981,"Tarry, Dorothy Muriel","The utopian vision of the total state in the 20th century: With special reference to Zamyatin, Aldous Huxley and George Orwell.",http://etheses.lse.ac.uk/1984/,TRUE
1982,"Bilovich, Yossef",Great power and corporate rivalry in Kuwait 1912-34: a study in international oil poitics.,http://etheses.lse.ac.uk/3429/,TRUE
1982,"Fricke, Haworth",Two rival programmes in 19th. century classical electrodynamics action-at-a-distance versus field theories.,http://etheses.lse.ac.uk/3430/,TRUE
1982,"Jones, Simon Mark Oliver",Domestic factors in Italian intervention in the First World War.,http://etheses.lse.ac.uk/1985/,TRUE
1982,"Palmer, Kent",The structure of theoretical systems in relation to emergence.,http://etheses.lse.ac.uk/3174/,TRUE
1982,"Shepherd, Gillian Marie",The Comorians in Kenya: the establishment and loss of an economic niche.,http://etheses.lse.ac.uk/104/,TRUE
1983,"Longstreth, Frank Hoover","State economic planning in a capitalist society: the political sociology of economic policy in Britain, 1940-79.",http://etheses.lse.ac.uk/3956/,TRUE
